id,s_fs_lev,level_description,s_fs_name_v
606,6.0,diploma,Diploma of building and construction
607,7.0,advanced diploma,Advanced Diploma Of Fashion Design and Merchandising
608,2.0,certificate ii,Certificate II in Furniture Finishing
609,3.0,certificate iii,Cert III in electrotechnology
610,4.0,certificate iv,Cert IV in fitness
611,3.0,certificate iii,cert 3 electro technology
612,8.0,bachelor,Bachelor of Nursing
613,7.0,advanced diploma,Advance diploma of hospitality
614,4.0,certificate iv,Commercial cookery
615,3.0,certificate iii,Cert 3 in community services
616,3.0,certificate iii,Certificate iii In animal studies specialising in veterinary nursing
617,9.0,higher than a degree,Bachelor Of Psychological Sciences
618,8.0,bachelor,Bachelor of Nursing( Monash University)
619,4.0,certificate iv,Training and assessing
620,6.0,diploma,Diploma of nursing
621,8.0,bachelor,Bachelors with honours in mechanical engineering
622,6.0,diploma,Diploma
623,4.0,certificate iv,"Certificate IV in Child, Youth and Family intervention."
624,4.0,certificate iv,Health care
625,3.0,certificate iii,Electro technology Cert 3
626,8.0,bachelor,Bachelor of Nursing
627,9.0,higher than a degree,Master of Translating and Interpreting
628,8.0,bachelor,Bachelor of Arts
629,8.0,bachelor,Bachelor of social work
630,4.0,certificate iv,LAB TECH
631,8.0,bachelor,BA-ICT
632,3.0,certificate iii,Certificate 3 in barbering
633,4.0,certificate iv,Cert 4 building and construction
634,8.0,bachelor,Bachelor of Communitiy Services
635,6.0,diploma,Nursing
636,10.0,,Family violence support worker
637,6.0,diploma,Diploma in accounting
638,4.0,certificate iv,Cyber and information technology
639,6.0,diploma,Diploma of Business
640,1.0,certificate i,G O workskills
641,6.0,diploma,"Diploma of community services ( statutory and forensic child, youth & family welfare )"
642,6.0,diploma,Diploma in community services
643,7.0,advanced diploma,ADVANCED DIP. IN AUDIO PRODUCTION
644,4.0,certificate iv,Aging support
645,6.0,diploma,Dip of horticulture
646,8.0,bachelor,Bachelor of education
647,2.0,certificate ii,VCAL intermediate
648,8.0,bachelor,Bachelor of Film and Television (hons)
649,6.0,diploma,Diploma of Photography and Photo Imaging
650,3.0,certificate iii,Carpentry certificate 3
651,4.0,certificate iv,Makeup course in Chisholm
652,6.0,diploma,Business Administration
653,6.0,diploma,Diploma of interior design
654,6.0,diploma,Diploma of community services
655,10.0,,Marine Engineering Driver
656,8.0,bachelor,Bachelor of nursing
657,9.0,higher than a degree,Post Graduate TESOL
658,4.0,certificate iv,Certificate 4 in Travel and Tourism
659,6.0,diploma,Diploma in Building & Construction (Building)
660,6.0,diploma,Diploma in community services
661,2.0,certificate ii,painting and decorating
662,2.0,certificate ii,English classes
663,2.0,certificate ii,22485 VIC CERTIFICATE II IN EAL (ACCESS)
664,4.0,certificate iv,Certificate IV Patisserie
665,6.0,diploma,Diploma of animation and gaming
666,9.0,higher than a degree,bachelor of sports business and media at holmesglen
667,4.0,certificate iv,Building and construction very 4
668,8.0,bachelor,Bachelor of Early Childhood Education
669,6.0,diploma,builders academy
670,2.0,certificate ii,Certificate 2 in spoken and learning english.
671,4.0,certificate iv,Fitness cert 4
672,9.0,higher than a degree,Masters of teaching
673,6.0,diploma,Diploma of Accounting
674,3.0,certificate iii,certificate three in early childhood education and care
675,6.0,diploma,Diploma of Agriculrue
676,4.0,certificate iv,Cert IV in Mental Health
677,3.0,certificate iii,Certificate III in Individual Support.
678,4.0,certificate iv,Continuing the same course -  Community service certificate IV
679,6.0,diploma,Diploma of information technology st la trobe
680,3.0,certificate iii,Plumbing
681,3.0,certificate iii,Certificate III in Electrotechnology
682,6.0,diploma,Diploma of early childhood care and education
683,6.0,diploma,Diploma in early childcare education
684,4.0,certificate iv,Cert IV IN COMPANION ANIMAL SERVICES
685,8.0,bachelor,Bachelor of nursing
686,3.0,certificate iii,Certificate III in electro technology; electrician
687,8.0,bachelor,Bachelor of Integrative Psychotherapy
688,6.0,diploma,Diploma of Nursing
689,7.0,advanced diploma,Advanced Diploma of Accounting
690,3.0,certificate iii,Certificate in Disability
691,4.0,certificate iv,Age care and disability cert 4
692,8.0,bachelor,Bachelor of Arts
693,8.0,bachelor,Bachelor of Arts
694,6.0,diploma,Diploma of animal technology
695,4.0,certificate iv,TAE40116 CertificateIV Training and Assessment
696,9.0,higher than a degree,ADC
697,6.0,diploma,Diploma in Early Childhood Education and Care
698,4.0,certificate iv,Business administration
699,3.0,certificate iii,"Cert III, heavy vehicle technologies."
700,8.0,bachelor,Bachelor of Education (Early Childhood and Primary)
701,6.0,diploma,diploma of school age education and care
702,1.0,certificate i,Work education
703,4.0,certificate iv,Certificate IV in Education Support
704,5.0,vce or vcal,Vcal ticket to a trade
705,3.0,certificate iii,Cert 3 Electrotechnology
706,4.0,certificate iv,Nanny course with International Career Institute
707,3.0,certificate iii,Cert 3 in education support
708,7.0,advanced diploma,Leadership and Management
709,3.0,certificate iii,Still Cert III in hair dressing with another school
710,8.0,bachelor,Associate degree in aerospace engineering
711,6.0,diploma,Early childhood education and care
712,6.0,diploma,Diploma of Nutrition (Non-Clinical Advisor)
713,8.0,bachelor,Bachelor of Human Services and Masters of Social Work
714,6.0,diploma,Health science
715,3.0,certificate iii,Certificate 3 community services
716,8.0,bachelor,Fine Art Bachelor
717,10.0,,Beginner eyebrow tattooing
718,4.0,certificate iv,Certificate 4 in Companion Animal Services
719,7.0,advanced diploma,English language course
720,7.0,advanced diploma,Advance Diploma of legal practise
721,6.0,diploma,Diploma of school-age education and care and Diploma in Early Childhood Education and Care
722,8.0,bachelor,Bachelor of cyber security
723,3.0,certificate iii,Cert 3 electrotechnology electrician
724,3.0,certificate iii,Certificate III in Fitness   And about to commence diploma of legal services in semester 2
725,7.0,advanced diploma,Advanced Diploma in community service and management.
726,9.0,higher than a degree,Bachelor of Agriculture
727,3.0,certificate iii,Building
728,6.0,diploma,Nursing
729,6.0,diploma,Diploma
730,10.0,,Health coach
731,4.0,certificate iv,bachelor of business
732,4.0,certificate iv,Certificate IV in Bookkeeping and Accounting with SWTafe
733,6.0,diploma,Community services
734,8.0,bachelor,Law
735,3.0,certificate iii,Certificate III - Plumbing engineering
736,3.0,certificate iii,Certificate 3 in individual support
737,4.0,certificate iv,Cert 1v in Disabilitieis
738,4.0,certificate iv,Certificate 4 of AHCBUS509 Develop and Implement Business Structures And Relationship.
739,7.0,advanced diploma,Advanced diploma in accounting
740,8.0,bachelor,Bachelor of education primary
741,8.0,bachelor,Bachelor of Outdoor and Environmental Education
742,7.0,advanced diploma,advance diploma of accounting
743,6.0,diploma,Diploma of nursing
744,6.0,diploma,Diploma of Screen and Media - Animation
745,6.0,diploma,Diploma of Building and Construction (building)
746,8.0,bachelor,Bachelor of Applied Information Technology
747,5.0,vce or vcal,VCE Units 3 and 4
748,7.0,advanced diploma,Associate degree in engineering technology
749,8.0,bachelor,cpa foundation
750,4.0,certificate iv,Teachers aid
751,3.0,certificate iii,Engineering and metal fabrication
752,4.0,certificate iv,I will be doing my plumbing licensing just on the waiting list and waiting for my turn
753,8.0,bachelor,Bachelor of Horticulture. Teachers are great. Really passionate about what they do unlike Victoria University. Have a lot of support and advice given to me by them.
754,6.0,diploma,Diploma if accounting
755,6.0,diploma,Diploma of digital media technology
756,1.0,certificate i,General Education for Adults
757,8.0,bachelor,Bachelors of Science/Biomedical Science
758,3.0,certificate iii,Alffie certificate in business managment
759,4.0,certificate iv,Conservation and Land Management
760,4.0,certificate iv,Cert 4 certificate 4
761,8.0,bachelor,Bachelor of nursing
762,3.0,certificate iii,"Its not a new course, its Cert3 in Education Support. I joined it before I joined Early childhood."
763,2.0,certificate ii,Cert 2 in electrical
764,4.0,certificate iv,Cert 4 in electronics
765,3.0,certificate iii,"This course was done in 2004, Cerf 3 in Dental Assisiting"
766,6.0,diploma,Diploma of Training Design & Development
767,8.0,bachelor,Bachelor of criminal justice
768,6.0,diploma,Photography and Photo Imaging
769,3.0,certificate iii,Cert 3 Horticulture
770,3.0,certificate iii,Certificate 3 Auslan
771,2.0,certificate ii,Welding engerniering cert two
772,8.0,bachelor,Bachelor of nursing
773,3.0,certificate iii,Still doing my course
774,8.0,bachelor,Bachelor of engineering civil and infrastructure and i plan to do bachelor of bussiness management as well.
775,4.0,certificate iv,Cert IV in guiding  Cert IV in tourism
776,8.0,bachelor,Bachelor of laws
777,4.0,certificate iv,Cabinetry
778,4.0,certificate iv,AOD      Alcohol and other drugs
779,3.0,certificate iii,Community service certificate 3
780,6.0,diploma,Diploma of nursing
781,3.0,certificate iii,Certificate 3 in Health Services Assistance
782,5.0,vce or vcal,Year 12 VCE
783,6.0,diploma,I like to get deploma for hospitality or working with disabilities people or nursing home. I like to help others.
784,4.0,certificate iv,Education support
785,8.0,bachelor,Bachelor of Information Technology
786,8.0,bachelor,Bachelor of international business applied
787,4.0,certificate iv,Operate small business
788,9.0,higher than a degree,Diploma of Technology (Computing Studies)
789,4.0,certificate iv,optical dispensing
790,5.0,vce or vcal,Vce
791,3.0,certificate iii,Shearing
792,6.0,diploma,Diploma in graphic design
793,4.0,certificate iv,Certificate IV Education Support.
794,4.0,certificate iv,Certificate 4 veterinary nursing at acaas
795,3.0,certificate iii,Certificate III Plumbing
796,4.0,certificate iv,Certificate IV  in Training and Assessment
797,8.0,bachelor,Bachelor of mechanical engineering
798,6.0,diploma,still in the same course
799,4.0,certificate iv,Cert IV Cyber Security
800,8.0,bachelor,Bachelor of Design Architecture at Deakin University
801,6.0,diploma,Mental health
802,6.0,diploma,Councilling diploma-
803,6.0,diploma,Diploma of community services
804,4.0,certificate iv,Certificate 4 in boiler making
805,8.0,bachelor,Bachelor of Community Services
806,4.0,certificate iv,Hospitality
807,6.0,diploma,Diploma of Accounting
808,6.0,diploma,Diploma of photography and photo imaging
809,8.0,bachelor,Bachelor of Primary and Secondary Education (Honours)
810,3.0,certificate iii,Certificate 3
811,4.0,certificate iv,Jetset training college
812,6.0,diploma,Diploma of paramedicine
813,8.0,bachelor,Bachelor of primary education
814,10.0,,Certificate of Professional Styling and Image Training
815,8.0,bachelor,Community Access program
816,6.0,diploma,Diploma in Community Services
817,6.0,diploma,Diploma in Early Childhood Education & Care
818,8.0,bachelor,Legal and Dispute Studies
819,8.0,bachelor,Bachelor of Fine Arts
820,4.0,certificate iv,Certificate 4 fitness
821,8.0,bachelor,Bachelor of engineering technology
822,6.0,diploma,Diploma of Graphic Design
823,6.0,diploma,Diploma of Paramedicine
824,6.0,diploma,Torrens University  Diploma of nursing
825,3.0,certificate iii,Certificate III in animal studies (vet nursing skills)
826,8.0,bachelor,Bachelor of Primary Education
827,6.0,diploma,Screen & media
828,10.0,,None of your buisiness
829,4.0,certificate iv,Certificate IV in Education Support with Victoria University
830,3.0,certificate iii,Child care  Aged care
831,2.0,certificate ii,CHC22015 Certificate II in Community Services
832,2.0,certificate ii,Plumbing
833,3.0,certificate iii,Certificate 3 beauty services
834,3.0,certificate iii,Animal studies (specialising in vet nursing skills)
835,7.0,advanced diploma,Advanced Diploma in Screen and TV
836,8.0,bachelor,Bachelor of media and communications
837,3.0,certificate iii,business administration  medical reception
838,3.0,certificate iii,mechanics
839,3.0,certificate iii,Plumbing
840,7.0,advanced diploma,Advanced Diploma or Conveyancing
841,5.0,vce or vcal,Pathways hospitality
842,3.0,certificate iii,Certificate lll written and spoken English
843,8.0,bachelor,Bachelor of Geospatial Science (survey)(Honers)
844,3.0,certificate iii,NEIS
845,10.0,,It was a few hours course in hospitality (barista and latte art)
846,4.0,certificate iv,Certificate 4 in laboratory techniques
847,6.0,diploma,Diploma early education and care
848,3.0,certificate iii,Not decided yet
849,3.0,certificate iii,Business
850,3.0,certificate iii,Plumbing
851,6.0,diploma,diploma of child care
852,4.0,certificate iv,Certificate iv access
853,6.0,diploma,Diploma of community services
854,5.0,vce or vcal,Senior vcal
855,6.0,diploma,Diploma of Nursing
856,8.0,bachelor,Bachelor of nursing
857,6.0,diploma,Diploma - Information Technology
858,4.0,certificate iv,In photography and photo imaging (skill set)
859,7.0,advanced diploma,Advanced Dip of Graphic Design
860,6.0,diploma,Diploma of Business
861,8.0,bachelor,Bachelor of Design (Games)
862,8.0,bachelor,Bachelor of Education (Secondary)
863,8.0,bachelor,Bachelor of nursing.
864,3.0,certificate iii,barbering
865,7.0,advanced diploma,building design
866,6.0,diploma,Nursing
867,6.0,diploma,Diploma Building and Construction
868,6.0,diploma,Diploma of community services
869,5.0,vce or vcal,I am now working as a first year apprentice in the electric industry.
870,2.0,certificate ii,Plumbing cert II.
871,6.0,diploma,Community service
872,10.0,,Marine Licence
873,9.0,higher than a degree,Social work
874,8.0,bachelor,Bachelor of medical science
875,8.0,bachelor,Bachelor Outdoor recreation and environmental studies
876,8.0,bachelor,Bachelor of Law
877,6.0,diploma,Engineering Technology (Civil )
878,10.0,,Tesol
879,7.0,advanced diploma,Diploma of business enterprise
880,3.0,certificate iii,Certificate 3 in Early Childhood Education
881,8.0,bachelor,Doctor of Veterinary Medicine
882,6.0,diploma,Diploma of Nursing
883,4.0,certificate iv,Cert IV plumbing licensing
884,6.0,diploma,Diploma of Teacher Education Preparation
885,3.0,certificate iii,Individual support
886,4.0,certificate iv,Certificate iv in disability
